Employee ID,EmployeeType,EmployeeType_Encoded,PayZone,PayZone_Encoded,DepartmentType,DepartmentType_Encoded,GenderCode,GenderCode_Encoded,RaceDesc,RaceDesc_Encoded,MaritalDesc,MaritalDesc_Encoded,Performance Score,Performance Score_Encoded,Current Employee Rating
1001,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,Black,1,Married,1,Fully Meets,1,3
1002,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,Asian,0,Widowed,3,Fully Meets,1,3
1003,Contract,0,Zone A,0,Software Engineering,5,Female,0,White,4,Married,1,Fully Meets,1,3
1004,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Black,1,Single,2,Fully Meets,1,3
1005,Full-Time,1,Zone B,1,Software Engineering,5,Male,1,Black,1,Divorced,0,Fully Meets,1,3
1006,Full-Time,1,Zone C,2,Software Engineering,5,Female,0,White,4,Widowed,3,Fully Meets,1,3
1007,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Black,1,Widowed,3,Fully Meets,1,3
1008,Contract,0,Zone B,1,Software Engineering,5,Female,0,Hispanic,2,Married,1,Fully Meets,1,3
1009,Part-Time,2,Zone C,2,Software Engineering,5,Female,0,Other,3,Single,2,Fully Meets,1,3
1010,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Divorced,0,Fully Meets,1,3
1011,Contract,0,Zone A,0,Software Engineering,5,Male,1,Hispanic,2,Married,1,Fully Meets,1,3
1012,Contract,0,Zone A,0,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3
1013,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,Asian,0,Single,2,Fully Meets,1,3
1014,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Other,3,Single,2,Fully Meets,1,3
1015,Contract,0,Zone A,0,Software Engineering,5,Female,0,White,4,Married,1,Fully Meets,1,3
1016,Part-Time,2,Zone B,1,Admin Offices,0,Female,0,White,4,Single,2,Fully Meets,1,3
1017,Full-Time,1,Zone B,1,Admin Offices,0,Female,0,Black,1,Single,2,Fully Meets,1,3
1018,Part-Time,2,Zone A,0,Admin Offices,0,Female,0,White,4,Married,1,Fully Meets,1,3
1019,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,Hispanic,2,Widowed,3,Fully Meets,1,3
1020,Contract,0,Zone C,2,Software Engineering,5,Female,0,Black,1,Widowed,3,Fully Meets,1,3
1021,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Single,2,Fully Meets,1,3
1022,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Black,1,Divorced,0,Fully Meets,1,3
1023,Contract,0,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Divorced,0,Fully Meets,1,3
1024,Contract,0,Zone A,0,Software Engineering,5,Female,0,Other,3,Divorced,0,Fully Meets,1,3
1025,Full-Time,1,Zone A,0,Admin Offices,0,Female,0,Other,3,Divorced,0,Fully Meets,1,3
1026,Contract,0,Zone A,0,Admin Offices,0,Female,0,Other,3,Widowed,3,Fully Meets,1,3
1027,Part-Time,2,Zone A,0,Admin Offices,0,Male,1,Other,3,Single,2,Fully Meets,1,3
1028,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Asian,0,Single,2,Fully Meets,1,3
1029,Part-Time,2,Zone B,1,Software Engineering,5,Female,0,Asian,0,Divorced,0,Fully Meets,1,3
1030,Contract,0,Zone C,2,Software Engineering,5,Male,1,Black,1,Single,2,Fully Meets,1,3
1031,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,White,4,Widowed,3,Fully Meets,1,3
1032,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Asian,0,Widowed,3,Fully Meets,1,3
1033,Contract,0,Zone B,1,Software Engineering,5,Male,1,Other,3,Single,2,Fully Meets,1,3
1034,Full-Time,1,Zone C,2,Software Engineering,5,Female,0,Black,1,Single,2,Fully Meets,1,3
1035,Full-Time,1,Zone A,0,Admin Offices,0,Female,0,Asian,0,Divorced,0,Fully Meets,1,3
1036,Part-Time,2,Zone A,0,Admin Offices,0,Male,1,Asian,0,Single,2,Fully Meets,1,3
1037,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Other,3,Widowed,3,Fully Meets,1,3
1038,Contract,0,Zone B,1,Software Engineering,5,Male,1,Hispanic,2,Married,1,Fully Meets,1,3
1039,Part-Time,2,Zone B,1,Software Engineering,5,Female,0,Other,3,Widowed,3,Fully Meets,1,3
1040,Contract,0,Zone A,0,Software Engineering,5,Male,1,White,4,Divorced,0,Fully Meets,1,3
