Employee ID,EmployeeType,EmployeeType_Encoded,PayZone,PayZone_Encoded,DepartmentType,DepartmentType_Encoded,GenderCode,GenderCode_Encoded,RaceDesc,RaceDesc_Encoded,MaritalDesc,MaritalDesc_Encoded,Performance Score,Performance Score_Encoded,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score
1001,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,Black,1,Married,1,Fully Meets,1,3,2,5,5
1002,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,4,5,3
1003,Contract,0,Zone A,0,Software Engineering,5,Female,0,White,4,Married,1,Fully Meets,1,3,2,5,2
1004,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Black,1,Single,2,Fully Meets,1,3,3,5,3
1005,Full-Time,1,Zone B,1,Software Engineering,5,Male,1,Black,1,Divorced,0,Fully Meets,1,3,2,4,5
1006,Full-Time,1,Zone C,2,Software Engineering,5,Female,0,White,4,Widowed,3,Fully Meets,1,3,5,2,1
1007,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Black,1,Widowed,3,Fully Meets,1,3,2,1,5
1008,Contract,0,Zone B,1,Software Engineering,5,Female,0,Hispanic,2,Married,1,Fully Meets,1,3,5,2,2
1009,Part-Time,2,Zone C,2,Software Engineering,5,Female,0,Other,3,Single,2,Fully Meets,1,3,2,5,1
1010,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Divorced,0,Fully Meets,1,3,2,4,2
1011,Contract,0,Zone A,0,Software Engineering,5,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,1,2,3
1012,Contract,0,Zone A,0,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3,3,5,4
1013,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,Asian,0,Single,2,Fully Meets,1,3,5,4,3
1014,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Other,3,Single,2,Fully Meets,1,3,4,4,1
1015,Contract,0,Zone A,0,Software Engineering,5,Female,0,White,4,Married,1,Fully Meets,1,3,1,1,3
1016,Part-Time,2,Zone B,1,Admin Offices,0,Female,0,White,4,Single,2,Fully Meets,1,3,2,3,2
1017,Full-Time,1,Zone B,1,Admin Offices,0,Female,0,Black,1,Single,2,Fully Meets,1,3,4,1,3
1018,Part-Time,2,Zone A,0,Admin Offices,0,Female,0,White,4,Married,1,Fully Meets,1,3,4,1,4
1019,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,Hispanic,2,Widowed,3,Fully Meets,1,3,1,3,5
1020,Contract,0,Zone C,2,Software Engineering,5,Female,0,Black,1,Widowed,3,Fully Meets,1,3,2,1,2
1021,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Single,2,Fully Meets,1,3,5,1,4
1022,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Black,1,Divorced,0,Fully Meets,1,3,1,4,4
1023,Contract,0,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Divorced,0,Fully Meets,1,3,4,4,3
1024,Contract,0,Zone A,0,Software Engineering,5,Female,0,Other,3,Divorced,0,Fully Meets,1,3,5,3,1
1025,Full-Time,1,Zone A,0,Admin Offices,0,Female,0,Other,3,Divorced,0,Fully Meets,1,3,4,1,4
1026,Contract,0,Zone A,0,Admin Offices,0,Female,0,Other,3,Widowed,3,Fully Meets,1,3,5,2,5
1027,Part-Time,2,Zone A,0,Admin Offices,0,Male,1,Other,3,Single,2,Fully Meets,1,3,2,3,5
1028,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Asian,0,Single,2,Fully Meets,1,3,5,5,4
1029,Part-Time,2,Zone B,1,Software Engineering,5,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,3,5,4
1030,Contract,0,Zone C,2,Software Engineering,5,Male,1,Black,1,Single,2,Fully Meets,1,3,4,4,1
1031,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,White,4,Widowed,3,Fully Meets,1,3,5,3,2
1032,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,5,4,4
1033,Contract,0,Zone B,1,Software Engineering,5,Male,1,Other,3,Single,2,Fully Meets,1,3,3,1,3
1034,Full-Time,1,Zone C,2,Software Engineering,5,Female,0,Black,1,Single,2,Fully Meets,1,3,2,5,1
1035,Full-Time,1,Zone A,0,Admin Offices,0,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,1,5,5
1036,Part-Time,2,Zone A,0,Admin Offices,0,Male,1,Asian,0,Single,2,Fully Meets,1,3,5,2,1
1037,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Other,3,Widowed,3,Fully Meets,1,3,5,1,4
1038,Contract,0,Zone B,1,Software Engineering,5,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,5,1,2
1039,Part-Time,2,Zone B,1,Software Engineering,5,Female,0,Other,3,Widowed,3,Fully Meets,1,3,2,4,5
1040,Contract,0,Zone A,0,Software Engineering,5,Male,1,White,4,Divorced,0,Fully Meets,1,3,5,3,1
1041,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3,3,1,4
1042,Contract,0,Zone B,1,Software Engineering,5,Male,1,Black,1,Widowed,3,Fully Meets,1,3,1,3,4
1043,Full-Time,1,Zone C,2,Software Engineering,5,Female,0,White,4,Married,1,Fully Meets,1,3,1,1,3
1044,Contract,0,Zone A,0,Software Engineering,5,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,2,4,5
1045,Full-Time,1,Zone C,2,Admin Offices,0,Female,0,Black,1,Single,2,Fully Meets,1,3,1,4,1
1046,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3,3,5,4
1047,Contract,0,Zone A,0,Software Engineering,5,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,4,2,3
1048,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,3,1,4
1049,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,White,4,Married,1,Fully Meets,1,3,3,5,2
1050,Contract,0,Zone B,1,Software Engineering,5,Male,1,Black,1,Widowed,3,Fully Meets,1,3,4,5,1
1051,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,White,4,Divorced,0,Fully Meets,1,3,2,4,5
1052,Contract,0,Zone B,1,Software Engineering,5,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,1,4,4
1053,Contract,0,Zone C,2,Software Engineering,5,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,2,1,4
1054,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3,1,5,2
1055,Contract,0,Zone C,2,Software Engineering,5,Female,0,White,4,Widowed,3,Fully Meets,1,3,3,4,1
1056,Contract,0,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Widowed,3,Fully Meets,1,3,4,2,2
1057,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,3,2,5
1058,Contract,0,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,4,2,1
1059,Part-Time,2,Zone C,2,Software Engineering,5,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,4,3,3
1060,Part-Time,2,Zone B,1,Software Engineering,5,Female,0,Black,1,Single,2,Fully Meets,1,3,5,5,4
1061,Part-Time,2,Zone C,2,Software Engineering,5,Female,0,Other,3,Single,2,Fully Meets,1,3,3,3,1
1062,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,3,2,1
1063,Full-Time,1,Zone B,1,Software Engineering,5,Female,0,Black,1,Single,2,Fully Meets,1,3,5,2,4
1064,Part-Time,2,Zone A,0,Software Engineering,5,Male,1,White,4,Divorced,0,Fully Meets,1,3,5,4,4
1065,Contract,0,Zone C,2,Software Engineering,5,Male,1,Other,3,Widowed,3,Fully Meets,1,3,5,3,4
1066,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Hispanic,2,Single,2,Fully Meets,1,3,4,3,5
1067,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,White,4,Married,1,Fully Meets,1,3,3,2,5
1068,Full-Time,1,Zone B,1,Software Engineering,5,Female,0,Black,1,Widowed,3,Fully Meets,1,3,3,2,2
1069,Full-Time,1,Zone B,1,Software Engineering,5,Female,0,Other,3,Widowed,3,Fully Meets,1,3,3,1,2
1070,Full-Time,1,Zone C,2,Software Engineering,5,Male,1,Black,1,Married,1,Fully Meets,1,3,3,1,2
1071,Contract,0,Zone A,0,Software Engineering,5,Male,1,Black,1,Married,1,Fully Meets,1,3,1,2,2
1072,Part-Time,2,Zone C,2,Software Engineering,5,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,2,2,3
1073,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3,4,4,2
1074,Full-Time,1,Zone A,0,Software Engineering,5,Male,1,Asian,0,Divorced,0,Fully Meets,1,3,3,4,1
1075,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,Asian,0,Married,1,Fully Meets,1,3,1,2,3
1076,Contract,0,Zone C,2,Software Engineering,5,Female,0,White,4,Widowed,3,Fully Meets,1,3,1,3,1
1077,Contract,0,Zone B,1,Software Engineering,5,Female,0,Black,1,Single,2,Fully Meets,1,3,5,2,4
1078,Contract,0,Zone C,2,Software Engineering,5,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,3,3,4
1079,Part-Time,2,Zone B,1,Software Engineering,5,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,2,2,1
1080,Part-Time,2,Zone C,2,Software Engineering,5,Male,1,Black,1,Widowed,3,Fully Meets,1,3,3,1,3
1081,Contract,0,Zone B,1,Software Engineering,5,Male,1,Asian,0,Divorced,0,Fully Meets,1,3,1,3,3
1082,Part-Time,2,Zone B,1,Software Engineering,5,Male,1,Other,3,Married,1,Fully Meets,1,3,1,4,1
1083,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,5,5,3
1084,Contract,0,Zone C,2,Software Engineering,5,Male,1,White,4,Single,2,Fully Meets,1,3,1,2,4
1085,Contract,0,Zone B,1,Software Engineering,5,Male,1,Other,3,Divorced,0,Fully Meets,1,3,5,5,3
1086,Contract,0,Zone A,0,Software Engineering,5,Female,0,Black,1,Single,2,Fully Meets,1,3,1,1,5
1087,Part-Time,2,Zone A,0,Software Engineering,5,Female,0,Other,3,Married,1,Fully Meets,1,3,1,5,2
1088,Contract,0,Zone B,1,Software Engineering,5,Female,0,White,4,Widowed,3,Fully Meets,1,3,4,3,1
1089,Full-Time,1,Zone A,0,Software Engineering,5,Female,0,Black,1,Married,1,Fully Meets,1,3,3,1,5
1090,Part-Time,2,Zone C,2,Software Engineering,5,Female,0,Black,1,Divorced,0,Fully Meets,1,3,4,3,4
1091,Contract,0,Zone B,1,Production       ,3,Male,1,Asian,0,Single,2,Fully Meets,1,3,2,4,3
1092,Part-Time,2,Zone C,2,Production       ,3,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,1,4,1
1093,Contract,0,Zone B,1,Production       ,3,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,3,1,4
1094,Part-Time,2,Zone A,0,Production       ,3,Female,0,Other,3,Single,2,Fully Meets,1,3,5,4,5
1095,Full-Time,1,Zone A,0,Production       ,3,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,1,2,1
1096,Part-Time,2,Zone C,2,Production       ,3,Female,0,Asian,0,Married,1,Fully Meets,1,3,1,3,2
1097,Contract,0,Zone B,1,Production       ,3,Male,1,Hispanic,2,Divorced,0,Fully Meets,1,3,1,2,5
1098,Part-Time,2,Zone A,0,Production       ,3,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,2,2,2
1099,Part-Time,2,Zone A,0,Production       ,3,Female,0,Other,3,Single,2,Fully Meets,1,3,1,5,5
1100,Full-Time,1,Zone C,2,Production       ,3,Male,1,White,4,Divorced,0,Fully Meets,1,3,1,4,5
1101,Full-Time,1,Zone A,0,Production       ,3,Female,0,White,4,Widowed,3,Fully Meets,1,3,1,1,3
1102,Part-Time,2,Zone A,0,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,5,1,4
1103,Full-Time,1,Zone C,2,Production       ,3,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,5,3,1
1104,Part-Time,2,Zone C,2,Production       ,3,Male,1,Asian,0,Divorced,0,Fully Meets,1,3,1,4,2
1105,Contract,0,Zone A,0,Production       ,3,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,1,4,1
1106,Full-Time,1,Zone B,1,Production       ,3,Male,1,Other,3,Single,2,Fully Meets,1,3,2,3,3
1107,Contract,0,Zone A,0,Production       ,3,Female,0,Other,3,Single,2,Fully Meets,1,3,4,5,1
1108,Full-Time,1,Zone A,0,Production       ,3,Male,1,White,4,Married,1,Fully Meets,1,3,4,5,3
1109,Full-Time,1,Zone C,2,Production       ,3,Female,0,White,4,Divorced,0,Fully Meets,1,3,4,5,4
1110,Full-Time,1,Zone B,1,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,1,1,4
1111,Full-Time,1,Zone A,0,Production       ,3,Female,0,White,4,Widowed,3,Fully Meets,1,3,4,1,1
1112,Full-Time,1,Zone A,0,Production       ,3,Female,0,White,4,Single,2,Fully Meets,1,3,4,1,1
1113,Contract,0,Zone B,1,Production       ,3,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,3,3,5
1114,Full-Time,1,Zone C,2,Production       ,3,Female,0,Hispanic,2,Widowed,3,Fully Meets,1,3,1,3,3
1115,Contract,0,Zone A,0,Production       ,3,Male,1,Black,1,Widowed,3,Fully Meets,1,3,4,1,3
1116,Full-Time,1,Zone A,0,Production       ,3,Male,1,White,4,Divorced,0,Fully Meets,1,3,3,4,4
1117,Full-Time,1,Zone C,2,Production       ,3,Male,1,Other,3,Divorced,0,Fully Meets,1,3,4,5,1
1118,Full-Time,1,Zone B,1,Production       ,3,Male,1,Asian,0,Divorced,0,Fully Meets,1,3,1,5,3
1119,Part-Time,2,Zone C,2,Production       ,3,Female,0,White,4,Single,2,Fully Meets,1,3,4,4,5
1120,Part-Time,2,Zone B,1,Production       ,3,Female,0,Black,1,Divorced,0,Fully Meets,1,3,3,3,4
1121,Part-Time,2,Zone C,2,Production       ,3,Female,0,Hispanic,2,Widowed,3,Fully Meets,1,3,1,1,4
1122,Contract,0,Zone C,2,Production       ,3,Female,0,White,4,Married,1,Fully Meets,1,3,2,1,2
1123,Full-Time,1,Zone B,1,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,2,3,1
1124,Full-Time,1,Zone A,0,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,3,2,3
1125,Contract,0,Zone B,1,Production       ,3,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,4,3,4
1126,Part-Time,2,Zone C,2,Production       ,3,Male,1,White,4,Divorced,0,Fully Meets,1,3,3,3,2
1127,Full-Time,1,Zone A,0,Production       ,3,Male,1,White,4,Married,1,Fully Meets,1,3,5,1,3
1128,Part-Time,2,Zone B,1,Production       ,3,Female,0,Hispanic,2,Married,1,Fully Meets,1,3,4,2,4
1129,Full-Time,1,Zone B,1,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,1,1,1
1130,Contract,0,Zone A,0,Production       ,3,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,1,5,4
1131,Part-Time,2,Zone B,1,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,4,4,4
1132,Contract,0,Zone B,1,Production       ,3,Female,0,Hispanic,2,Widowed,3,Fully Meets,1,3,1,5,5
1133,Full-Time,1,Zone B,1,Production       ,3,Female,0,Hispanic,2,Married,1,Fully Meets,1,3,1,2,4
1134,Part-Time,2,Zone C,2,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,4,1,2
1135,Full-Time,1,Zone A,0,Production       ,3,Male,1,Other,3,Widowed,3,Fully Meets,1,3,5,4,4
1136,Full-Time,1,Zone A,0,Production       ,3,Male,1,Other,3,Divorced,0,Fully Meets,1,3,2,5,2
1137,Full-Time,1,Zone C,2,Production       ,3,Male,1,Black,1,Single,2,Fully Meets,1,3,3,3,5
1138,Full-Time,1,Zone B,1,Production       ,3,Male,1,Black,1,Divorced,0,Fully Meets,1,3,4,5,1
1139,Contract,0,Zone A,0,Production       ,3,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,2,4,2
1140,Part-Time,2,Zone C,2,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,5,3,2
1141,Contract,0,Zone A,0,Production       ,3,Female,0,Black,1,Divorced,0,Fully Meets,1,3,5,5,2
1142,Full-Time,1,Zone B,1,Production       ,3,Female,0,Asian,0,Married,1,Fully Meets,1,3,4,4,4
1143,Contract,0,Zone A,0,Production       ,3,Female,0,Hispanic,2,Widowed,3,Fully Meets,1,3,2,4,2
1144,Part-Time,2,Zone B,1,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,5,3,2
1145,Contract,0,Zone B,1,Production       ,3,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,3,3,4
1146,Contract,0,Zone C,2,Production       ,3,Male,1,Hispanic,2,Divorced,0,Fully Meets,1,3,3,2,2
1147,Full-Time,1,Zone B,1,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,1,3,5
1148,Part-Time,2,Zone A,0,Production       ,3,Female,0,Black,1,Married,1,Fully Meets,1,3,4,1,3
1149,Part-Time,2,Zone C,2,Production       ,3,Female,0,Asian,0,Married,1,Fully Meets,1,3,3,2,5
1150,Part-Time,2,Zone A,0,Production       ,3,Female,0,White,4,Single,2,Fully Meets,1,3,3,4,4
1151,Part-Time,2,Zone A,0,Production       ,3,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,5,3,1
1152,Full-Time,1,Zone A,0,Production       ,3,Female,0,Other,3,Divorced,0,Fully Meets,1,3,1,1,5
1153,Part-Time,2,Zone A,0,Production       ,3,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,3,4,2
1154,Full-Time,1,Zone C,2,Production       ,3,Female,0,White,4,Married,1,Fully Meets,1,3,1,3,2
1155,Contract,0,Zone A,0,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,2,3,1
1156,Contract,0,Zone A,0,Production       ,3,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,1,5,2
1157,Part-Time,2,Zone A,0,Production       ,3,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,1,4,2
1158,Full-Time,1,Zone A,0,Production       ,3,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,2,4,4
1159,Part-Time,2,Zone A,0,Production       ,3,Male,1,Other,3,Divorced,0,Fully Meets,1,3,1,2,4
1160,Part-Time,2,Zone B,1,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,4,2,3
1161,Contract,0,Zone B,1,Production       ,3,Female,0,Other,3,Widowed,3,Fully Meets,1,3,3,4,4
1162,Full-Time,1,Zone C,2,Production       ,3,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,3,3,2
1163,Contract,0,Zone A,0,Production       ,3,Female,0,White,4,Divorced,0,Fully Meets,1,3,1,2,3
1164,Part-Time,2,Zone A,0,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,5,5,5
1165,Full-Time,1,Zone C,2,Production       ,3,Female,0,Other,3,Widowed,3,Fully Meets,1,3,3,3,1
1166,Full-Time,1,Zone A,0,Production       ,3,Male,1,Other,3,Married,1,Fully Meets,1,3,2,1,4
1167,Contract,0,Zone B,1,Production       ,3,Female,0,Other,3,Single,2,Fully Meets,1,3,2,3,4
1168,Contract,0,Zone A,0,Production       ,3,Female,0,White,4,Married,1,Fully Meets,1,3,2,2,2
1169,Contract,0,Zone B,1,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,1,3,2
1170,Part-Time,2,Zone C,2,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,1,5,4
1171,Part-Time,2,Zone A,0,Production       ,3,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,4,1,4
1172,Full-Time,1,Zone C,2,Production       ,3,Male,1,Asian,0,Married,1,Fully Meets,1,3,1,3,2
1173,Full-Time,1,Zone C,2,Production       ,3,Female,0,White,4,Widowed,3,Fully Meets,1,3,5,5,2
1174,Full-Time,1,Zone C,2,Production       ,3,Female,0,Other,3,Widowed,3,Fully Meets,1,3,2,1,5
1175,Full-Time,1,Zone A,0,Production       ,3,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,2,1,2
1176,Contract,0,Zone A,0,Production       ,3,Female,0,White,4,Married,1,Fully Meets,1,3,2,2,5
1177,Contract,0,Zone A,0,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,2,2,5
1178,Contract,0,Zone C,2,Production       ,3,Male,1,Other,3,Single,2,Fully Meets,1,3,2,1,2
1179,Part-Time,2,Zone A,0,Production       ,3,Male,1,Black,1,Divorced,0,Fully Meets,1,3,3,5,1
1180,Full-Time,1,Zone B,1,Production       ,3,Male,1,Hispanic,2,Single,2,Fully Meets,1,3,4,3,1
